label,text
spam,"WIN a free prize now"
ham,"Are we still on for the meeting tomorrow?"
spam,"Claim your voucher today"
ham,"Please review the project update"
spam,"Urgent: you have won a cash prize"
ham,"Can we schedule a call this afternoon?"
spam,"Limited offer – click here to claim"
ham,"Here are the notes from yesterday's meeting"
spam,"Congratulations, you have been selected"
ham,"Thanks for your help with the report"
spam,"Free entry into our prize draw"
ham,"Let me know when you're available"
spam,"Exclusive deal just for you"
ham,"Looking forward to our discussion tomorrow"
spam,"You have won a free gift card"
ham,"Please find the attached agenda"
spam,"Act now to claim your reward"
ham,"Can you review this draft later today?"
spam,"Final reminder: claim your prize"
ham,"I'll send the updated document shortly"
